date,state,positive,negative,pending,death,total,dateChecked
20200312,HI,2,NA,NA,NA,2,2020-03-12T20:00:00Z
20200312,IA,14,67,24,NA,105,2020-03-12T20:00:00Z
20200312,ID,0,93,NA,NA,93,2020-03-12T20:00:00Z
20200312,IL,25,266,76,NA,367,2020-03-12T20:00:00Z
20200312,IN,12,52,NA,NA,64,2020-03-12T20:00:00Z
20200312,KS,4,41,NA,NA,45,2020-03-12T20:00:00Z
20200312,KY,8,56,NA,NA,64,2020-03-12T20:00:00Z
20200312,LA,14,37,NA,NA,51,2020-03-12T20:00:00Z
20200312,MA,95,NA,NA,NA,95,2020-03-12T20:00:00Z
20200312,MD,12,94,NA,NA,12,2020-03-12T20:00:00Z
20200312,ME,1,65,20,NA,86,2020-03-12T20:00:00Z
20200312,MI,2,91,27,NA,120,2020-03-12T20:00:00Z
20200312,MN,9,307,NA,NA,316,2020-03-12T20:00:00Z
20200312,MO,1,64,NA,NA,65,2020-03-12T20:00:00Z
20200312,MS,1,41,NA,NA,42,2020-03-12T20:00:00Z
20200312,MT,1,34,NA,NA,35,2020-03-12T20:00:00Z
20200312,NC,12,60,NA,NA,72,2020-03-12T20:00:00Z
20200312,ND,1,12,14,NA,27,2020-03-12T20:00:00Z
20200312,NE,10,80,33,NA,123,2020-03-12T20:00:00Z
20200312,NH,6,94,21,NA,121,2020-03-12T20:00:00Z
20200312,NJ,30,74,20,1,124,2020-03-12T20:00:00Z
20200312,NM,5,155,NA,NA,160,2020-03-12T20:00:00Z
20200312,NV,7,168,NA,NA,175,2020-03-12T20:00:00Z
20200312,NY,216,NA,NA,NA,216,2020-03-12T20:00:00Z
20200312,OH,5,30,52,NA,87,2020-03-12T20:00:00Z
20200312,OK,3,36,4,NA,43,2020-03-12T20:00:00Z
20200312,OR,19,286,62,NA,367,2020-03-12T20:00:00Z
20200312,PA,22,116,81,NA,219,2020-03-12T20:00:00Z
20200312,RI,5,94,8,NA,107,2020-03-12T20:00:00Z
20200312,SC,10,48,NA,NA,58,2020-03-12T20:00:00Z
20200312,SD,8,27,11,NA,46,2020-03-12T20:00:00Z
20200312,TN,18,79,NA,NA,97,2020-03-12T20:00:00Z
